image_file_name,design_number,design_performance,visual_appeal,weird,creative
2101C1,2101C1B,5.2,4,4.4,2.8
2101C2,2101C2,4.6,4.6,3.6,5
2101S1,2101S1,3.2,2.6,3.8,3
2102C2,2102C2,5.8,4.8,4.8,4.2
2102C2B,2102C2B,5.6,4.4,4.2,3.8
2102S1,2102S1,6,4.8,2.6,4.8
2103C1,2103C1,4.4,5.4,3.8,4.6
2103S1,2103S1B,6.2,4.8,3.2,4.2
2104C1,2104C1,5.4,4.2,3.8,3.6
2104C2,2104C2,4.2,4.6,3.4,4.2
2104S1,2104S1B,6,5,3.8,5.2
2105C1B,2105C1B,4,4.6,5.6,3.8
2105C2,2105C2,4.6,4.6,3.6,4
2105S,2105S,4.6,3.6,4,3.6
2105S2,2105S2,4,2.6,5.2,3.8
2106C1B,2106C1B,6.6,4.8,3.2,4.2
2106S1,2106S1,4.2,3.6,3.4,3.2
2106S2,2106S2,4.2,3.4,4,3.2
2107C1,2107C1,5.6,4.6,4.4,4.2
2107S1,2107S1B,4.4,4.2,3.6,3.8
2107S2,2107S2,3.8,3,3.4,2.8
2201C1,2201C1,5.6,4.4,4.6,4
2201C2,2201C2,5.8,5.2,3.8,4.2
2201S1,2201S1,6.2,4.6,3.4,3.8
2201S2,2201S2B,5.4,3.8,3.8,4.2
2202S1,2202S1B,3.6,2.6,3.8,1.8
2204C1,2204C1,5.6,4.8,5.4,4.6
2204C2,2204C2B,5.2,4.6,4.2,3.4
2204S1,2204S1,6.4,5,2.8,4
2204S2,2204S2,4.2,3.4,3.4,3
2205C1,2205C1,3.2,4.6,3.4,2.6
2205S1,2205S1B,5,4,2.8,2.4
2206C1,2206C1,4.2,3,4.6,3.6
2206S1,2206S1B,5.2,5.2,4.4,3.6
2207C1,2207C1,4.6,3.6,5.4,3.2
2207S1,2207S1B,5.4,4.8,3.2,3.2
2207S2,2207S2,4,2.6,5,2.6
2208C1,2208C1,4.2,2.8,3.4,2.6
2208S1,2208S1,5.6,4.4,4,3.6
2208S2,2208S2B,4,2.6,4.6,2.8
2209C1,2209C1,5.2,4.4,4.8,4.2
2209S1,2209S1B,5,3.2,3.4,2.6
2210C1,2210C1B,4.6,4.2,4.6,3.4
2210C2,2210C2,4,3.2,5.8,4.6
2210S1,2210S1,4.6,3.4,4.2,4.8
2211C1,2211C1B,4.6,3.6,4.8,4.6
2211S1,2211S1,4.8,3.6,3,3.8
2301C1,2301C1,4.4,5,4.2,4.8
2301C2,2301C2,5.2,4.2,5,4.2
2301S1,2301S1,5.6,5.4,2.6,3.2
2301S2,2301S2B,5.4,4.4,2.8,3
2302C1,2302C1B,3.4,2,4,2.8
2302S1,2302S1,5.6,4.8,3,3.8
2302S2,2302S2,5.4,4.2,2.8,3.4
2401C1,2401C1,6.2,3.6,4.8,3.6
2401C2,2401C2B,6.2,4.4,4.2,3.4
2401S1,2401S1,5.2,4.2,2.8,2.6
2401S2,2401S2,4.8,4,2.6,2.8
2402C1,2402C1B,5,4.2,3.8,4
2402S1,2402S1,3,2.6,5.2,5.2
2403C1,2403C1,5.2,4.2,4.6,3.4
2403C2B,2403C2B,5.2,4.8,3.4,4.6
2403S1,2403S1,5.4,5,3.4,3.2
2404C1,2404C1,6,5.4,3,3.6
2404C2,2404C2,4.6,4,3.8,3.2
2404S1,2404S1,4,2.8,3.2,2.2
2404S2B,2404S2B,3.6,4,3,2
2405C1,2405C1,6.4,3.8,4.6,4.6
2405C2,2405C2,5.8,4.2,5,3.4
2405S1,2405S1,7.4,5.6,3,4.2
2405S2,2405S2B,6.2,4.8,3.8,3.4
2407C1,2407C1,6,4.4,4.4,4.8
2407C2,2407C2,4.8,3.2,4.6,4.8
2407S1,2407S1B,5,4.4,3.6,3.2
2407S2,2407S2,6.2,5.2,3.6,4.4
2408S1,2408S1B,4.2,2.8,3.4,2.8
2409C1,2409C1,4.6,4.2,4.2,3.6
2409C2B,2409C2B,5.2,4.8,4.6,4.6
2409S1,2409S1,4,3.2,3.2,2.4
2409S2,2409S2,4.4,3.6,3,2.2
2410C1,2410C1B,6,4.6,3.6,3.8
2410S1,2410S1,5.6,4.4,3,3.8
2501C1,2501C1,5.2,4.8,3.8,4.2
2501C2,2501C2,5.4,4.2,4.6,4.6
2501S1,2501S1B,5.4,3.6,3.6,2.4
2501S2,2501S2,6,5.2,3.4,4
2502C1,2502C1,5.2,5,4.8,3.8
2502C2B,2502C2B,5,4.4,3.6,3.6
2502S1,2502S1,4.8,3.2,3.4,2.4
2601C1,2601C1,5.8,4.4,3.8,4.6
2601C2,2601C2B,3.8,3.2,5.2,4.6
2601S1,2601S1,5.8,4.4,3.4,4.2
2601S2,2601S2,6.4,4,3,3.6
2602C1,2602C1,6,5.4,3.4,5
2602C2,2602C2,4.4,4,4.2,3
2602S1,2602S1,6.4,4.8,3.4,3.6
2602S2,2602S2B,5,4.4,3.6,2.8
2604C1,2604C1,5.2,4.4,4,4.2
2604C2,2604C2,4.8,4,4.6,3.8
2604S1B,2604S1B,4.4,4.2,4.2,3.8
2604S2,2604S2,6,4.8,4,4.6
2701C1,2701C1,4.4,4,5.2,4.4
2701C2B,2701C2B,4.2,3.2,5.4,3.8
2701S1,2701S1,4.4,3.4,4.6,4.2
2702C1,2702C1,4.4,3,4.8,4.6
2702S1,,,,,
